"459430014,2025-09-24T10:31:26Z,1404/07/02 14:01,Fp,farhad4242,twit,#خودرو \n\n\nطاهری از کمیسیون صنایع مجلس گفته یه کم مهلت بدیم برای اینکه قیمت سهام سایپا بره بالا بعد واگذار بشه تا حق و حقوق سهامداران خرد و دولت حفظ بشه\n\nاز همینجا به طاهری میگم برو تابلوی بورس رو ببین ، هر یک روزی که مدیریت دولتی بیشتر در سایپا روی صندلی باشه سهمش بیشتر میریزه\n\nاصلا عامل اصلی ریزش سایپا همین مدیریت فعلی دولتی است ، چیزی که خودش عامل ریزش سهم است ، چگونه می تواند همزمان دلیل رشد سهم باشد ؟؟؟!!!\n\nاینجوری سهم سایپا رو بالا بردید ؟ فک کنم برعکس داری میزنی داداش ! البته نمودار را سر و ته کنی حرفت درست در میاد😂\n\nخدا ازتــــون نگــــذره که فقط حرف مفــت میزنید،\nطلا و سکه ودلار هر روز صعــــودی،\nبورس هر روز نــــزولی،\n\nبه مولا قســــم فلــج ترین اقتصاد و بازارسرمایه دنیا رو ایران با اقتــدار و فاصله داراست."
"459430011,2025-09-24T10:31:12Z,1404/07/02 14:01,Fp,farhad4242,twit,#شاخص_بورس \n\n\nطاهری از کمیسیون صنایع مجلس گفته یه کم مهلت بدیم برای اینکه قیمت سهام سایپا بره بالا بعد واگذار بشه تا حق و حقوق سهامداران خرد و دولت حفظ بشه\n\nاز همینجا به طاهری میگم برو تابلوی بورس رو ببین ، هر یک روزی که مدیریت دولتی بیشتر در سایپا روی صندلی باشه سهمش بیشتر میریزه\n\nاصلا عامل اصلی ریزش سایپا همین مدیریت فعلی دولتی است ، چیزی که خودش عامل ریزش سهم است ، چگونه می تواند همزمان دلیل رشد سهم باشد ؟؟؟!!!\n\nاینجوری سهم سایپا رو بالا بردید ؟ فک کنم برعکس داری میزنی داداش ! البته نمودار را سر و ته کنی حرفت درست در میاد😂\n\nخدا ازتــــون نگــــذره که فقط حرف مفــت میزنید،\nطلا و سکه ودلار هر روز صعــــودی،\nبورس هر روز نــــزولی،\n\nبه مولا قســــم فلــج ترین اقتصاد و بازارسرمایه دنیا رو ایران با اقتــدار و فاصله داراست."
"459430007,2025-09-24T10:30:56Z,1404/07/02 14:00,Fp,farhad4242,twit,#خساپا \n\nطاهری از کمیسیون صنایع مجلس گفته یه کم مهلت بدیم برای اینکه قیمت سهام سایپا بره بالا بعد واگذار بشه تا حق و حقوق سهامداران خرد و دولت حفظ بشه\n\nاز همینجا به طاهری میگم برو تابلوی بورس رو ببین ، هر یک روزی که مدیریت دولتی بیشتر در سایپا روی صندلی باشه سهمش بیشتر میریزه\n\nاصلا عامل اصلی ریزش سایپا همین مدیریت فعلی دولتی است ، چیزی که خودش عامل ریزش سهم است ، چگونه می تواند همزمان دلیل رشد سهم باشد ؟؟؟!!!\n\nاینجوری سهم سایپا رو بالا بردید ؟ فک کنم برعکس داری میزنی داداش ! البته نمودار را سر و ته کنی حرفت درست در میاد😂\n\nخدا ازتــــون نگــــذره که فقط حرف مفــت میزنید،\nطلا و سکه ودلار هر روز صعــــودی،\nبورس هر روز نــــزولی،\n\nبه مولا قســــم فلــج ترین اقتصاد و بازارسرمایه دنیا رو ایران با اقتــدار و فاصله داراست."
"459430002,2025-09-24T10:30:46Z,1404/07/02 14:00,محمدباقر,mbzeinali57,quote,چرا جواب چیزی که میگم رو نمیگی؟ \nکلا یه چیز دیگه می‌نویسی."
"459429990,2025-09-24T10:30:17Z,1404/07/02 14:00,عبداله,jkhbjibvvgyonbf,twit,#عیار رئیس کل بانک مرکزی:\n🔹در برابر فعال‌سازی اسنپ‌بک، سیاست ارزی بدون تغییر ادامه خواهد یافت.\n🔹همزمان افزایش حراج و پیش‌فروش سکه و تزریق گسترده شمش برای مدیریت بازار طلا در دستور است."
"459429977,2025-09-24T10:30:03Z,1404/07/02 14:00,سهام بی ارزش ( طلای با ارزش),farbod2020,quote,#عیار    چطوری استاد تحلیل های معکوس و منتشر کننده اخبار فیک در سهامیاب 🤣🤣 چطور روت میشه اینجا توییت بزنی هنوز🤣🤣"
"459429972,2025-09-24T10:29:46Z,1404/07/02 13:59,پویا,derap,twit,#تاصیکو چطور اجازه میدن حقوقی اول صبح سرخطی صف فروش بچینه بعد کد به کد بکنه با حقوقی دیگه؟\nاین تبانی و فساد نیست؟"
"459429969,2025-09-24T10:29:45Z,1404/07/02 13:59,محمدباقر,mbzeinali57,quote,دمت گرم که اینقدر حوصله نوشتن داری. \nسه تا کشور نام ببر که با تحریم جهانی با اتکا به خودشون موفق شدند."
"459429945,2025-09-24T10:27:21Z,1404/07/02 13:57,mahdi,ab651387,quote,مهندس شعر ...گفتن"
"459429935,2025-09-24T10:26:44Z,1404/07/02 13:56,سهام بی ارزش ( طلای با ارزش),farbod2020,twit,#عیار  مسعود سرمایی در چه حالی 🤣🤣  بیا بازم بگو داره میریزه 🤣عیار رو  از قیمت 17 تومن  میگفتی میریزه ولی الان 28.4 تومه 😂"
