"458826020,2025-08-11T10:38:47Z,1404/05/20 14:08,شناخت فرصت معاملاتی,kj84232984,quote,این شرکت 50 همت سود انباشته داره و بالای 500 همت دارایی داره مارکتش الان حدود 80 همت و سودش نسبت به پارسال تقریبا دوبرابر شده ولی الان مردم فقط می فروشند و حق هم دارند"
"458825995,2025-08-11T10:37:11Z,1404/05/20 14:07,مهدی پایون,payon,twit,#خساپا خدایا به همه رحم کن"
"458825978,2025-08-11T10:36:11Z,1404/05/20 14:06,سارا,sara0076,quote,کیو میخوای گول بزنی کیو میخوای فریب بدی؟؟؟ دیگه دوره عهد بوق نیست مردم یه سهم که بخوان بخرن سابقش رو نگاه میکنن و همه دیگه علمش رو داره ما خدا بهمون زده بود که خریدیم و مشکلی نیست من تا اونجایی که بتونم هوشیارشون میکنم مگه تو نمیگی ما دروغ میگیم خوب تلاش کن سهم اوکی بشه تا همه متوجه بشن ما دروغ میگیم 😂😂😂😂"
"458825971,2025-08-11T10:35:46Z,1404/05/20 14:05, سونامی,maki,twit,#عیار متاسفانه چیزی تا طلای ۸۵۰۰ نداریم"
"458825962,2025-08-11T10:35:07Z,1404/05/20 14:05,عبداله,jkhbjibvvgyonbf,twit,#شاخص_بورس 🎥بقایی، سخنگوی وزارت خارجه: در خصوص مذاکرات با آمریکا، تاکنون چیزی تعیین نشده\n\n🔹گفت‌وگوها با واشنگتن از طریق دفتر حفاظت منافع آن‌ها و کشورهایی که در مواردی پیام‌هایی رد و بدل کرده‌اند، ادامه دارد.\n\n🔹ادعاهایی که درباره مذاکره می‌شود با چیزی که می‌گویند کاملا متضاد است؛ اعمال [ایالات متحده] گویا است که جدیتی در این زمینه وجود نداشت."
"458825946,2025-08-11T10:34:19Z,1404/05/20 14:04,مهدی ک,mkarimifard77,quote,آلن توی آمریکاست ،البته وودی آلن 😊"
"458825932,2025-08-11T10:33:40Z,1404/05/20 14:03, King Midas,abcabckhodro,quote,به نکته ی مثبتی اشاره کردی؛ پاداش مسوولین شرکتها حتما باید سهام همون شرکت باشه به نرخ همون روز. نباید پول نقد باشه."
"458825928,2025-08-11T10:33:39Z,1404/05/20 14:03,سهامدار,shafiee1399,quote,پس چرا برای حق تقدم سهم صف خرید بستن ؟!؟"
"458825924,2025-08-11T10:33:37Z,1404/05/20 14:03,سارا,sara0076,quote,آره مثلا شما وجدانم رو نفروختم حداقلش اینه که من نمیفروشم دیگه کسی گرفتار نمیشه داری واسه چی تلاش میکنی چیو میخوای پنهون کنی دوره عهد بوق نیست مردم سابقش رو نگاه کنن متوجه میشن سلام به آقای مقدم برسون 😂"
"458825909,2025-08-11T10:32:53Z,1404/05/20 14:02,امید22,omidkhan22,twit,#گشان تابلو میگه که یک حقوقی داره با هوشیاری بزخری میکنه و هر روز درصد سهمش زیاد میکنه"
