"459514611,2025-09-29T10:33:53Z,1404/07/07 14:03,نرم افزار تحلیلگر دایموند,dndir,twit,#خودرو\nگزارش فروش شهريور ماه 1404\n\n✅ ایران‌ خودرو (خودرو) موفق به فروش 52084.5 میلیارد تومان در شهريور ماه 1404 شد. که نسبت به مشابه سال قبل 117.24 درصد افزایش داشت.\n\n🔥رکورد فروش ماهانه شکسته شد.\n\n❇️همچنین فروش کل شرکت در سال 1404به رقم 207211.83 میلیارد رسید که نسبت به مشابه سال قبل50.42 درصد افزایش یافت.\n\n💵 صادرات کل سال 1404به رقم 37.9 میلیارد تومان رسید.\n\n🔸تعداد سهام 2.56 هزار میلیارد\n🔸پی / ای -4.55\n🔸 پی / ای گروه-11.5\n🔸ارزش بازار 107,421 میلیارد تومان\n\n🔻بررسی بازدهی سهام:\n\nبازدهی 14 روز: 4%\nبازدهی 28 روز: 7%\nبازدهی 42 روز: -24%\nبازدهی 56 روز: -40%\n\nبا ارسال این گزارش در کانال و گروه های بورسی از سهام خود حمایت کنید🌷\n\n@dndir"
"459514587,2025-09-29T10:32:36Z,1404/07/07 14:02,agoolyking20,agoolyking20,twit,#شلرد اولین قدم ادم ...شدن گزارش منظم هست در بازار پایه 😁"
"459514560,2025-09-29T10:30:19Z,1404/07/07 14:00,عبد رب جلی محمودبن علی,mahmoodshami,twit,#خصدرا چی شد اوزگل"
"459514544,2025-09-29T10:29:18Z,1404/07/07 13:59,بچه+,mehrezayi,twit,#شتران"
"459514538,2025-09-29T10:28:13Z,1404/07/07 13:58,Kamal,sahmdar55,quote,دوست عزیز ما نوسانگیر نیستیم ، به اندازه سن شما تو این سهم بودیم ، حرف من اینه چرا موقعه ای که سرمایه مردم آب میشه ،زندگی مردم نابود میشه ناظر خوابه ،چرا تا چند روز صف خرید میشه چشمشون باز میشه ؟\nتو این قمار خونه حرف از دلسوزی خنده داره ،"
"459514533,2025-09-29T10:27:44Z,1404/07/07 13:57,امر,ama1371,quote,درود\nچرااین دوست عزیز اینقدر بفکر سهامدارا هست و ایندر دلسوز تو این زمونه کلا\"پیدا نمیشه واینکه یکهفته بیشتر هست که هشدار میدن و سهامداران هم هر روز سه درصد سود میکنن که بانک تو یکماه نمیده امیدوارم شما که اینقدر دلسوز سهامداران هستید خوشحال شوید😉😉🤣🤣🤣🤣"
"458543035,2025-07-22T09:02:49Z,1404/04/31 12:32,fraesi,fraesi,retwit,#لپیام \nتف بهت لپیام"
"459514526,2025-09-29T10:27:36Z,1404/07/07 13:57,فراهانی,raza6479,twit,#شتران \n\nتصویب افزایش سرمایه ۲۱٪ از سود انباشته"
"459505904,2025-09-29T06:01:15Z,1404/07/07 09:31,مهرداد,trade12,retwit,#شاخص_بورس بارها از ارزشمند بودن بازار و خریدهای سنگین حقوقی ها در این چند ساله صحبت کردیم ، بازار میتواند با بالا رفتن ارزش و حجم بیشتر معاملات در سالجاری تا محدوده 5M واحد رشد داشته باشد .🌺🌺"
"459514508,2025-09-29T10:26:38Z,1404/07/07 13:56,باران,alirezanori,twit,#بتیس ارزشگذاری سهم1958ریال مبارک عریزان"
