"458590357,2025-07-26T10:35:01Z,1404/05/04 14:05,سام محمدی,sam4,twit,#ولساپا  قیمت هارسید به سال ۹۵ بدو ازسال ۹۵اجناس حداقل ۵۰ برابر شدن ،بدبخت اونی که ازسال ۹۵ تا الان سهامدار ،جماعت دزد وفاسد"
"458590352,2025-07-26T10:34:51Z,1404/05/04 14:04,عادل,adel137,quote,سهم خوب اینطوری رفتار نمیکنه"
"458590337,2025-07-26T10:33:48Z,1404/05/04 14:03,nazanin,naznazak,twit,#عیار حقوقی درحال به آتش کشیدن عیاریون طمع کار"
"458590326,2025-07-26T10:33:16Z,1404/05/04 14:03,کوروش بزرگ,noria,quote,گاز هم هست. چونکه نیروگاه منتظری اصفهان بجای گاز، مازوت میسوزونه"
"458590319,2025-07-26T10:32:58Z,1404/05/04 14:02,Ali,ali1375tr,quote,#شاخص بورس میره تو جیب چین پولشو نمیدن جاش وام میدن سودم ازمون میگیرن"
"458590314,2025-07-26T10:32:40Z,1404/05/04 14:02,میلاد,miladbaghri,twit,#عیار گاهی برای یک پرش بلندتر باید کمی عقب رفت..."
"458590308,2025-07-26T10:32:18Z,1404/05/04 14:02,mfar1,mfar1,twit,#حسینا گزارش حسابرسی شده رو چرا کدال نمیکنه ؟ کسی پیگیری کرده ؟"
"458590304,2025-07-26T10:32:08Z,1404/05/04 14:02,یوز پلنگ آسیایی,yaemamreza2,twit,#شاخص_بورس \nبرق ،آب ،ماینر ،بیتکوین ،ژنراتور، پمپ."
"458590291,2025-07-26T10:30:39Z,1404/05/04 14:00,Sinsin,s.sina,twit,#شکبیر سود تقسیمی به ازای هر سهم مبلغ 16,000 ریال تعیین شد."
"458590288,2025-07-26T10:30:39Z,1404/05/04 14:00,سپاسگزارم,asxfvhnklz09,quote,تجربه بهترین معلم است. بیش از یک ماه پیش 👇"
