"458544855,2025-07-22T10:39:45Z,1404/04/31 14:09,بهزاد,trtroot,twit,#رپویا \nحقیقی‌های درشت سهم رو دوره کردند هم داره پروژه میشه یارو خوشحاله که سهامشو با ۱۵ درصد ۲۰ درصد سود فروخته دا پس فردا صف خریدش می‌کنن باز دوباره با التماس برمی‌گردی ۲۶۴ سرانه خرید ۵۸ میلیونی ۲۵ سرانه خرید ۶ میلیونی ۲۹ سرانه خرید ۷۵ میلیونی توسط حقوقی‌های درشت حالا حساب کن ببین چی شده"
"458544845,2025-07-22T10:39:08Z,1404/04/31 14:09,احمد,reza300,twit,#فملی دوستانی که در مجمع شرکت می کنند لطفا خواهان تقسیم سود حداقلی باشید مابقی بماند برای افزایش سرمایه"
"458544841,2025-07-22T10:38:59Z,1404/04/31 14:08,علی &&&&,batambyor1434,quote,#عیار بهت گفتم مسعود نرو زماهان بخر دیروز تو صف خرید رفتی امروز صفش ریخت تا ۷۰۰ میاد."
"458544815,2025-07-22T10:35:39Z,1404/04/31 14:05,بنیاد کار,khodakhoda124,twit,#سباقر ۲۷۰ تومن تقسیم کرده"
"458542708,2025-07-22T08:49:14Z,1404/04/31 12:19,M.reza.S,sad2579,retwit,مسئولان نابلد که این موارد ذکر شده توسط شما، مشخص است برایشان اولویت نبوده ونیست و امیدوارند خدا خودش آین موارد را حل کند،در صورتی که کشورهای دیگر برای این شرایط و آینده بدتر برنامه ریزی کرده اند."
"458544792,2025-07-22T10:34:19Z,1404/04/31 14:04,سمنت,maki1,twit,#آلومینا شرکت نیروگاه ۱۰۵ کیلوواتی خورشیدی داره که عملیاتیه و که قراره یه نیروگاه ۶۰ مگا واتی خورشیدی دیگه هم تاسیس کنند که استارتش خورده و دست پیمانکاره و  از لحاظ کمبود نیروی برق ریسکهای کمتری خواهد داشت. \nو همچنین نیروگاه ۱۸۰ مگاواتی حرارتی در دست انجامه ."
"458544788,2025-07-22T10:33:52Z,1404/04/31 14:03,mahdi,ab651387,twit,#دی سود چشمگیر در اینده بخاطر حضور مبارک جناب اقای  برات کریمی با لیاقت ترین مدیر بانکی کشور است .. \nاین بزرگوار هر کجا میروند اباد میکند مثل بانک شهر .."
"458544769,2025-07-22T10:33:14Z,1404/04/31 14:03,علی &&&&,batambyor1434,quote,#عیار  یکشنبه سکه و آبشده کف ترین قیمت را داشت و روند صعودی را طلا شروع کرده و اعداد بالایی را میبینه"
"458544756,2025-07-22T10:32:09Z,1404/04/31 14:02,چیکی اویا,zalmay,twit,#شاخص_بورس تمام دنیا در حالتی که تهدید می شن و امکان جنگ براشون وجود داره همه دست به دست هم می دن تا جلوی تهدید خارجی بایستن. مردم ما هم همینن اما حکومتمون یک جناح غرب گرا داره که می شه گفت طرفدار ارتباط با غرب به هر قیمتی هستن ... اینها مدام در حال کوبیدن سیستم هستن ... هر کاری بکنی یه غری می زنن .. جالبه که الان هم قدرت انتخابی دست همینهاست و دارن ازش استفاده می کنن و به دشمن پاس گل می دن. نمونه اش شاخص بورس خودمون ... چنان نابودش کردن که اون نتان یابو بر گرده بگه بورس ایران رفته زیر زمین اما بورس ما در حال رشده ..."
"458544732,2025-07-22T10:31:01Z,1404/04/31 14:01,نوری,ayandeh,twit,#وپارس \nبا توجه به دستور بانک مرکزی سود تقسیم نشد."
