"459223092,2025-09-09T10:11:47Z,1404/06/18 13:41,96,poya1181,twit,#پردیس : بازیگر روانی داره یک کلام ختم کلام"
"459223089,2025-09-09T10:11:42Z,1404/06/18 13:41,Godrat,godratpotato,twit,#عیار مسعود هرجا صف میبینه میره وای میسته تهش. تو عیار که باید تو +10 صف بشه چیزی نمیبینه. \nفعلا چون صف خساپا و سهامی دیگش ریخته از اونا خروج زده"
"459223055,2025-09-09T10:09:12Z,1404/06/18 13:39,کاوه صفرزاده,kaveh1355,quote,حتما نخواندید دوست گلم و شاید حرفه‌ای منطقی را درست دریافت نمی‌کنید/ موفق باشید."
"459223002,2025-09-09T10:06:21Z,1404/06/18 13:36,شاهان راد,karenazami,quote,#شاخص_بورس #عیار #خودرو \nسطح سواد سهام یاب افتضاح \nمن ده روز پیش ۱۶۵۰ خرید دادم نه دو ماه پیش \nپیام موجود هست ۸ شهریور\nاگر بخوام مثل خودت بی سواد حرف بزنم بازدهی شش ماهه عیار صفر\nبازدهی درآمد ثابت یاقوت ۱۸"
"459222981,2025-09-09T10:05:12Z,1404/06/18 13:35,سهامدار 1395,sahamdar1395,quote,#خصدرا  با بررسی گزینه ها نظر دهید."
"459222973,2025-09-09T10:04:55Z,1404/06/18 13:34,مهدی کار بیست,mahdicar20,twit,#وآذر آشغال ترین سهم تاریخ بورس ایران 84 درصد ضرر"
"459222969,2025-09-09T10:04:43Z,1404/06/18 13:34,سهامدار 1395,sahamdar1395,quote,#عیار  حواستون به قیمت دلار و تتر باشد.\nحواستون به قیمت انس طلا باشد.\nحواستون به آتش بس غزه و احتمال تمدید مکانیسم ماشه و سازمان ملل باشد.\nحواستون تا 10 مهر به خبرها باشد.\nیهو با یک خبر همه چی برعکس میشه."
"459196643,2025-09-07T15:33:37Z,1404/06/16 19:03,سهامدار 1395,sahamdar1395,retwit-pull,#نظرسنجی #شاخص_بورس حرکت فعلی شاخص کل تا کجا می رود؟\nسود سهام عدالت را میخواهند آخر شهریور دهند.\nپیش فروش سکه هم شروع شد.دوشنبه ها\nاواخر شهریور قطعنامه روسیه در سازمان ملل به رای میگذارند.مذاکرات یواشکی ادامه دارد.\nسهام تودلی واگذار نشد.نرخ بهره پایین نیامد.دلار توافقی با بازار آزاد اختلافش زیاد شد."
"459196732,2025-09-07T15:40:33Z,1404/06/16 19:10,سهامدار 1395,sahamdar1395,retwit-pull,#نظرسنجی #عیار پیش فروش سکه شروع شد.احتمالا هر دو هفته یکبار باشه.بنظر شما تاثیری بر قیمت طلا خواهد داشت؟\nسود سهام عدالت را میخواهند آخر شهریور دهند.\nاواخر شهریور قطعنامه پیشنهادی روسیه و چین در سازمان ملل به رای میگذارند.مذاکرات یواشکی ادامه دارد.\nظریف هم از فروردین که مذاکرات شروع شد یهو به اسم استعفا غیب شده.داره به کدام ماموریت مخفیانه می پردازد نمیدانم.فقط حدس میزنم در تمام اینمدت در حال مذاکره است.حدس شخصی زدم.جدی نگیرید."
"459222926,2025-09-09T10:02:08Z,1404/06/18 13:32,رضا,aero,twit,#ونیرو \nبدون شرح"
