"458790958,2025-08-09T10:28:43Z,1404/05/18 13:58,حسین,touch,twit,#شاخص_بورس 🔴 سه نام برای ریاست سازمان بورس روی میز؛ رفتن صیدی جدی‌تر از همیشه\n\n🔵در چند هفته اخیر زمزمه‌های جدی برکناری دکتر صیدی از ریاست سازمان بورس و اوراق بهادار آنقدر جدی شده است که طبق شنیده‌ها، سه گزینه اصلی برای جانشینی او معرفی شده‌اند: امیر هامونی، مهدی رباطی و محسن خدابخش.\n🔵 امیر هامونی = امیر هامونی، متولد ۱۶ مرداد ۱۳۶۱، دانش‌آموخته آمار و اقتصاد و دانشجوی دکترای علوم اقتصادی دانشگاه تهران است. او سابقه مدیریت در فرابورس، بازار متشکل ارزی، شاپرک و عضویت در فدراسیون بورس‌های اروپایی-آسیایی را در کارنامه دارد.\n🔵مهدی رباطی = مهدی رباطی، دکترای سیاست‌گذاری عمومی در اقتصاد و کارشناس ارشد اقتصاد انرژی، از مدیران باسابقه بازار سرمایه است. او سابقه مدیریت کارگزاری بورس بیمه ایران، عضویت در هیئت‌مدیره شرکت‌های بزرگ و فعالیت مستمر در سرمایه‌گذاری و تحلیل اقتصادی از سال ۱۳۸۳ را دارد.\n🔵محسن خدابخش = محسن خدابخش، متولد ۱۳۶۳ اردبیل و دارای کارشناسی ارشد مدیریت مالی، از مدیران باسابقه حوزه بازار سرمایه است. او سابقه عضویت در هیئت‌مدیره سازمان بورس، بانک گردشگری، شرکت سپرده‌گذاری مرکزی و مدیریت نظارت بر بورس‌ها و ناشران را در کارنامه دارد.\n🔵گفته می‌شود انتخاب نهایی رئیس جدید سازمان بورس طی روزهای آینده و پس از بررسی سوابق و برنامه‌های این سه گزینه انجام خواهد شد.\nایشالا فرزین هم بره"
"458790949,2025-08-09T10:27:50Z,1404/05/18 13:57,ali577,ali5772,twit,#وسین \nسازمان بورس اصلا رسیدگی نمی‌کند \nما بارها نامه زدیم \nتخلفات این شرکت تو بورس  طوماری شده که تو گزارش حسابرس اومده بود یک جا دیدم تو گزارشات \nتخلفات هست قانون هست برای تشخیص اش \nولی مجری قانون ضعیف عمل میکنه  و کوتاه میاد \nاز اجرای قانون \nشرکت بهیر تو بازار پایه بالای یک ساله نزدیک دو ساله اصلا گزارش نمیده چه ماهیانه چه سالیانه \nراست راست هم دارن راه میرن سهم هم باز هست \nیعنی قانون نوشته میشه ولی اون مدیر فهمیده سازمان بورس ضعف داره و شناسایی اش کرده میدونه اگه هر کار  کنه هر تخلفی قرار نیست باز خواستی بشه"
"458790932,2025-08-09T10:25:50Z,1404/05/18 13:55,پاریس کوچولو,paris.kouchulo,quote,خبر کاملا رسمیه"
"458790927,2025-08-09T10:25:47Z,1404/05/18 13:55,Ali,alif00,quote,شب دراز است و قلندر بیدار"
"458790910,2025-08-09T10:25:24Z,1404/05/18 13:55,saeed,saeedakh,twit,#ثفارس افشای ب"
"458790906,2025-08-09T10:24:35Z,1404/05/18 13:54,پاریس کوچولو,paris.kouchulo,quote,میخرم تو ناراحت نباش تو زماهان بخر"
"458790900,2025-08-09T10:23:54Z,1404/05/18 13:53,شاه سلطان مسعود,masoudforozanfa,quote,خوب حرف گوش ميدي بخر"
"458790884,2025-08-09T10:23:10Z,1404/05/18 13:53,a.t.b,talebiborujen,twit,#های_وب \nزمین گرد است،\nمسبب و مقصر این همه ضرر به سهم دار خرد مظلوم ،\nبه آه و نفرین گرفتار خواهد شد،\nدیر یا زود..."
"458790864,2025-08-09T10:21:04Z,1404/05/18 13:51,oms336,oms336,twit,#ساربیل \nمشکل برق که دیگه نداره  \nانشالا بره بالا اینهمه کاهش ارزش سهام اش جبران بشه"
"458790841,2025-08-09T10:18:50Z,1404/05/18 13:48,oms336,oms336,quote,#حسینا \nاینکه p/e  اش شده 3.74 به خاطر پنج شش تا منفی 3 است که پشت هم خورده\nالان وقت خریده واقعا \nمگر اینکه  مشکل مهمی داشته باشه  که اونهم خیلی بعیده چون  صندوق های کاربلدی  رفتن این سهم رو خریدن و نگهداری میکنن \nاگه مشکلی بود که که الان توی پرتفو شون حسینا رو کاهش میداند"
